platform,text,label_original,pred_sentiment,pred_confidence,pred_keywords,pred_explanation
Instagram,@XochitlGalvez  lidera el cambio en #Oaxaca y en todo México ¡#VotaPRD y haz que sea una realidad!,1,Positive,5.0,"lidera, cambio, realidad, #VotaPRD","The message expresses support for a political leader and encourages voting, indicating a positive sentiment towards change and action."
Youtube,"✅🔥 DOMINGAZO de LORET: ¡MIREN esta EXHIBIDA a los HIJOS del PEJE! ¡El VIDEO que CENSURARON! __ Cuando se trata de corrupción son muy eficientes en el gobierno de Morena. Este es el reflejo de alguien que se sabe impune porque es amigo de la familia presidencial.

🎬 BROZO Y LORET: #brozoyloret #shorts #brozo #loret #loretybrozo #latinus #lópezobrador #andylópezbeltrán #andy #joséramónlópezbeltrán #trivagos #elclan #clan #trenmaya #dosbocas #aifa #balasto #aeropuerto #pemex #aeropuertosantalucía #felipeángeles #exclusiva #domingazo #domingo #corrupto #corruptos #4t #amlo #peje #contralacorrupción #claudiasheinbaum #últimahora #deúltimahora #deúltimominuto #exclusiva #entrevista #tojil #sheinbaum #elecciones2024 #amlovers #chairos #domingo #domingazo #viral #videoviral #esviral #17demarzo #16demarzo #marzo2024 #marzo #shortsvideo #shortvideo #shortsfeed #brozolive #loretdemola #loretybrozo #carlosloret #carlosloretdemola #shortsyoutube #shortsbeta #shortsvideos #shortsviral #shorts_video #shorts_ #short #shortvideos #shortvideos #shortfeed #shortsbeta 

►❤️ Suscríbete si eres Nuevo en el Canal! ►🧡 Asegúrate de ACTIVAR las Notificaciones (Activa la Campanita! 🔔) para que nunca te pierdas un nuevo video♥

Loret, Brozo, Latinus, Brozo Y Loret, Loret Y Brozo, El Universal, Reforma, Lectómano, Morrillo Moreno, FRENAAA, Ricardo Alemán, Contrapeso Ciudadano, RID Tv, El Crítico, Alemán, La Otra Opinión, Ángel Verdugo, Atypical Te Ve, Atypical, Atypical TV, Carlos Alazraki, Luis Berman, Cena De Grillos, Pedro Ferriz, Loret De Mola, Sin Censura, Vicente Serrano, Enrique Krauze, AMLO, Gobierno De México, La Mañanera, AMLO El Mejor Presidente De México, Shorts, TikTok, TikTok2021, Mejores TikTok, Shorts 2021, Noticias, México


🔥 ¡ESTO TIENES QUE SABERLO! 📢 AMLO sigue de corrupto | Morena contra México 🇲🇽

📢 MEXICANOS ANTI-AMLO, AYÚDENNOS COMPARTIENDO ESTE VIDEO EN TODAS LAS REDES SOCIALES. ANTI-LOPEZ ANTI-OBRADOR ANTI-4T ANTI-DICTADORES

#Loret #Brozo #Latinus #BrozoYLoret #LoretYBrozo #ElUniversal #Reforma #Lectómano #MorrilloMoreno #FRENAAA, #RicardoAlemán, #ContrapesoCiudadano #RIDTv #ElCrítico #Alemán #LaOtraOpinión #ÁngelVerdugo AtypicalTeVe #Atypical #AtypicalTV #CarlosAlazraki #LuisBerman #CenaDeGrillos #ClaudioX #PedroFerriz #LoretDeMola #SinCensura #VicenteSerrano #EnriqueKrauze #AMLO #GobiernoDeMéxico #LaMañanera #AMLOElMejorPresidenteDeMéxico #AMLOLujoDePresidente #LópezObrador #PresidenteDeMéxico #ConferenciaPresidente #Shorts #TikTok #TikTok2021 #MejoresTikTok #Shorts2021 #ShortsYouTube #YouTubeShorts #MeCansoGanso

📢 COMPARTE ESTE VIDEO EN TUS REDES SOCIALES, ACTIVA LA CAMPANA DE NOTIFICACIONES Y NO OLVIDES SUSCRIBIRTE.

Este canal está hecho con en el fin de apoyar a todo ciudadano mexicano a darse cuenta sobre lo que está pasando realmente en México con el gobierno que enzabeza Andrés Manuel López Obrador, de la misma forma en que lo hacen diferentes canales como LATINUS, LORET, El BROZO, RICARDO ALEMÁN, PEDRO FERRIZ, EL UNIVERSAL, entre otros.

📢AMLO conferencia de prensa hoy 📢 AMLO regreso a clases 📢 López Obrador En Vivo, 📢 López Obrador el Mejor Presidente del Mundo, 📢López Obrador Hoy, 📢 López Obrador Mañanera de Hoy

Tags:

Conferencia de prensa matutina AMLO, Conferencia Mañanera, La Mañanera, Conferencia Presidente, Gobierno de México, AMLO conferencia de prensa hoy, AMLO regreso a clases, AMLO vitacilina, López Obrador En Vivo, López Obrador el Mejor Presidente del Mundo, López Obrador Hoy, López Obrador Mañanera de Hoy, AMLO Vacunas, Becas AMLO 2021, AMLO 2021, AMLO, Cuarta Transformación, 4T, 4Transformación, Andrés Manuel López Obrador, López Obrador, Apoyando a López Obrador, AMLO Lujo de Presidente, AMLO contra PRI, AMLO contra PAN, AMLO contra PRD, AMLO contra INE, AMLO contra Opositores, AMLO mejor discurso, El Mejor Discurso de AMLO, López Obrador en Palacio Nacional, AMLO en Palacio Nacional, AMLO Reelección, AMLO 2024, AMLO 2021, AMLO contra Jorge Ramos, AMLO contra Loret, AMLO tunde a Jorge Ramos, AMLO tunde a Loret, AMLO exhibe a periodistas, AMLO contra chayoteros, AMLO Sin Censura, Sin Censura, El Chapucero, Campechaneando, Sin Linea Mx

epn, peña nieto, vicente fox, felipe calderon, pan, morena, emilio lozoya, alfredo jalife rahme, carlos loret de mola, brozo, latinus, FOBAPROA, Jueces, Magistrados, suprema corte

Andrés Manuel López Obrador, López Obrador, AMLO, Beatriz Gutiérrez Müller, Enrique Peña Nieto, Peña Nieto, EPN, Angélica Rivera, Elba Esther Gordillo, Jose Antonio Meade, Luis Videgaray, Osorio Chong, Ochoa Reza, Rafael Moreno Valle, Donald Trump, México, PRI, PAN, PRD, MORENA, Movimiento Ciudadano, Miguel Ángel Mancera, Felipe Calderón, Vicente Fox, Carlos Slim.",0,Negative,5.0,"corrupto, corrupción, censurado, impune","The message expresses strong negative sentiments towards the government and its officials, particularly targeting AMLO and Morena, indicating a belief in corruption and censorship."
X,@ResistenciaCMx @AlvarezMaynez @Claudiashein Habla muy bien 👍🏻 bastante sereno y realista Maynez,1,Positive,5.0,"habla muy bien, bastante sereno, realista, 👍🏻","The message expresses a positive sentiment towards Maynez, highlighting his good speaking skills and calm demeanor."
X,@Xochitl2024 @Claudiashein Te falto esta seña pora los que no estamos contigo ✊✊✊✊,0,Negative,4.0,"falta, no estamos contigo","The message expresses a sense of exclusion or disappointment by stating that something is missing for those who are not in agreement, indicating a negative sentiment."
Facebook,"La candidata de la coalición ‘Seguiremos Haciendo Historia’ remarcó que su administración continuará con la política de ayudar a los que menos tienen. “Vamos a continuar con la transformación”, es el mensaje de la campaña y de la entrevista que Claudia Sheinbaum, candidata de la coalición ‘Sigamos Haciendo Historia’, tuvo con El Financiero en la que remarcó los logros conseguidos por el Gobierno del presidente Andrés Manuel López Obrador. Sheinbaum, la puntera de las preferencias electorales en las encuestas de El Financiero, subrayó en caso de llegar a la Presidencia tiene como objetivo sostener las políticas de los programa sociales impulsados por la administración obradorista. Vamos a “continuar con un gobierno que esté dedicado a los que menos tienen, que sea un gobierno austero, que tenga disciplina fiscal y financiera, y que la honestidad sea el eje”. ¿Qué tarea del Gobierno de López Obrador se acelerará con Sheinbaum? En su plática con Salvador Camarena, columnista de El Financiero, Sheinbaum reconoció que México vive un problema de inseguridad pues admitió que, en sus giras por el interior de la República, ha recibido peticiones de ayuda. “Pero no es la generalidad (...) esta cosa que la gente tiene miedo no lo he percibido; nuestro evento en Lagos de Moreno, por ejemplo, fue gigantesco, y la gente sí grita “seguridad”, pero es un ambiente festivo lo que hemos vivido; y aquí en Morelos la gente sí dice ‘queremos más seguridad’, pero no es esta cosa de que la gente no sale de su casa porque tiene miedo; en algunos lugares a lo mejor sí, pero es lo menos. Como lo dijo durante la firma del Compromiso Nacional por la Paz elaborado por la Conferencia del Episcopado Mexicano, la candidata presidencial de Morena remarcó que no comparte el diagnóstico de organizaciones de que existe un “México que tiene miedo y que no sale a la calle”. En aquella ocasión, Sheinbaum firmó el compromiso con la siguiente reserva: “Firmo el documento en el entendido de que hay una visión conjunta de construcción de la paz. Sin embargo, hay diversas afirmaciones y propuestas en las que no coincido”. “El presidente (López Obrador) ha avanzado, cambió la tendencia (en la inseguridad), que es algo importantísimo, y nos va a tocar hacerlo más rápido, y tenemos que tener una estrategia de seguridad, porque pues hay crimen organizado en el país y tenemos que tener una estrategia para afrontar ese tema, y sí es uno de los temas que la gente en las encuestas en primer lugar dice seguridad, entonces hay que seguir atendiendo. El interés de la población sobre cómo planean las candidatas bajar los niveles de violencia en México es un asunto prioritario: En la última encuesta de El Financiero, 12 por ciento de los entrevistados contestaron que las propuestas sobre seguridad es lo que más han recordado del primer mes de las campañas presidenciales. Entre las propuestas de Claudia Sheinbaum para combatir la inseguridad están la consolidación de la Guardia Nacional, así como el fortalecimiento del Sistema Nacional de Inteligencia para la seguridad pública, y poner en marcha un plan integral de combate al crimen organizado.",2,Positive,4.0,"ayudar, transformación, logros, gobierno austero, honestidad, compromiso, avanzado","The message highlights positive aspects of Claudia Sheinbaum's campaign, emphasizing her commitment to social policies, transformation, and security improvements. The use of words like 'ayudar' (help), 'transformación' (transformation), and 'logros' (achievements) indicates a positive sentiment towards her administration and its goals."
X,@GobiernoMX @InfoGobMexico @acostanaranjo @XochitlGalvez,2,Neutral,5.0,,The message contains only mentions of accounts without any sentiment-laden words or context.
X,"#LosMigrantes vamos a celebrar este #2DeJunio por que la doctora @Claudiashein será la próxima presidenta de México 🥂🎉🫶🎉 

#MigrantesConMorena 
#ClaudiaPresidenta https://t.co/2bm6YJkkUt",1,Positive,5.0,"celebrar, próxima presidenta, 🥂, 🎉, 🫶","The message expresses excitement and positivity about an upcoming celebration and the election of a preferred candidate, indicating a positive sentiment."
Facebook,"Construyamos una ciudad que este a la altura de las grandes capitales de Mexico, con él desarrollo económico esperado por mucho tiempo y para ello debemos comenzar con la empatía de ciudadano a ciudadano.
#LoNuevo #MC #ElFuturoEsNaranja  #LoNuevoVaEnserio #ArrancateChiapas  #ArrancateTuxtla  #MovimientoCiudadano #MC #arrancate",1,Positive,4.0,"ciudad, desarrollo económico, empatía, grandes capitales","The message expresses a vision for building a city that meets high standards and emphasizes economic development and empathy among citizens, indicating a positive outlook."
X,"@JJDiazMachuca @_JRLB_ En ningún momento del video, escuche que haya dicho que votaran por @XochitlGalvez 

Si dejó muy claro la situación del país, eso fue lo que enrealidad les ardió",0,Negative,4.0,"en ningún momento, escuche, votaran, muy claro, situación del país, ardió","The message expresses a negative sentiment towards the situation being discussed, indicating frustration and disagreement with the interpretation of the video."
Facebook,"De acuerdo a la encuesta de Reforma, el PRIAN sería tercera fuerza política…

así las preferencias electorales en Jalisco rumbo al 2 de junio.",2,Neutral,4.0,"encuesta, preferencias electorales, tercera fuerza política","The message discusses political preferences and survey results without expressing a clear positive or negative sentiment, making it neutral."
